src,tgr
老人在骡子的背上放上了一个个装满了沙的袋子。,The old man loaded his mule with bags full of sand.
难道不该有人帮汤姆吗？,Shouldn't someone be helping Tom?
有些人害怕婚姻。,Marriage frightens some people.
我讓我的哥哥修理我的腳踏車。,I had my brother repair my bicycle.
湯姆不吃紅肉,Tom doesn't eat red meat.
請先填寫這張表格。,Please fill out this form first.
我时间不多。,I don't have much time.
不下雨則矣，一下一定是傾盆大雨。,It never rains but it pours.
会议已经被延迟到明天了。,The meeting has been postponed until tomorrow.
我會盡力幫你。,I'll do what I can to help you.
我好胖哦。,I'm so fat.
她在从自行车上摔下来时伤到了脚。,She hurt her foot when she fell off her bicycle.
我希望你去。,I wish you'd go.
这些是我的书，而那些是他的书。,"These are my books, and those are his books."
我个子高。,I'm tall.
我想沒關係。,I think it's fine.
银行星期六不营业。,The bank is not open on Saturdays.
我们有权搜查你的公寓。,We have a warrant to search your apartment.
圖書館在二樓。,The library is on the second floor.
我以前吃披萨，但现在不了。,"I used to eat pizza, but now I don't."
只有六個人參加了派對。,Only six people came to the party.
亚洲比澳洲大很多。,Asia is much larger than Australia.
他有充分的理由這樣做。,He had every reason for doing so.
现在道歉也迟了。,It's too late to apologize.
我只想注意积极方面。,I want to just focus on the positive.
我希望瑪麗通過考試。,I hope that Mary passes the examination.
有人要咖啡吗？,Would anybody like some coffee?
這可能是一場婚禮。,It might be a wedding.
你的孩子多大了？,How old are your children?
這裡一年四季很溫暖。,It's warm here all the year round.
醫生甚麼也做不了。,There was nothing that the doctors could do.
他踢了那顆球。,He kicked the ball.
这仅是你的想像而已。,It is just your imagination.
我們要給孩子起個名字。,We have to pick a name for the child.
瑪麗說她會做她的功課。,Mary said she would do her homework.
汤姆从来都没有准时过。,Tom has never been on time.
我觉得汤姆需要减肥了。,I think that Tom should go on a diet.
我什么都不怕。,I'm not afraid of anything.
以前我家前面有棵大松树。,There used to be a big pine tree in front of my house.
汤姆想说话。,Tom wants to talk.
我會告訴湯姆你說了那話。,I'll tell Tom you said that.
她经常在饭后收拾桌子。,She always clears the table after a meal.
你多久用一次手机？,How often do you use your phone?
我很抱歉我没有打电话。,I'm sorry I didn't call.
我知道汤姆不能阻止我做那件事。,I know Tom can stop me from doing that.
保持安静！,Keep quiet.
我碰蚯蚓的时候，它扭动起来。,The earthworm wriggled when I touched it.
汤姆吓得说不出话。,Tom was too scared to say anything.
這門從裡面被反鎖了。,The door was locked from the inside.
她一整晚都在哭。,She kept crying all night long.
汤姆不想来。,Tom didn't want to come.
面包是面粉做的。,Bread is made from flour.
你完全是对的。,You're absolutely right.
一些疾病的产生原因是基因缺陷。,Some diseases are caused by a defective gene.
我最近戒烟了。,I've recently given up smoking.
這位老人餓死了。,The old man starved to death.
大好的前途摆在他面前。,A brilliant future lay before him.
我媽媽正在讀一本雜誌。,My mother is reading a magazine.
她不害怕任何東西。,She is not afraid of anything.
这个问题让小学生解决太难了。,This problem is too difficult for primary school children to solve.
我必须在礼拜六之前把书还回去。,I have to give back the book before Saturday.
他們考試失敗了。,They failed the exam.
没时间告诉你一切你需要知道的事情。,There's no time to tell you everything you need to know.
谁是你最喜爱的电视明星？,Who is your favorite TV star?
他們相信死後的生命。,They believe in a life after death.
給我些可以寫字的東西。,Give me something to write with.
我爺爺的聽力不太好。,My grandfather can't hear very well.
我们被暴风雨袭击了。,We were caught in a storm.
我想更改我的預訂。,I'd like to change my reservation.
我十点回来。,I'll be back at ten.
我会为汤姆做任何事。,I would do anything for Tom.
失物招领处在哪儿？,Where is the lost and found?
你藏進櫃子裡去。,Hide in the closet.
汤姆对玛丽撒了谎。,Tom lied to Mary.
狗被車撞了。,The dog was hit by a car.
管好你自己的事吧。,Mind your own business!
我全身酸痛。,My whole body is sore.
他没有举起他的手。,He did not put up his hand.
或許我該去幫湯姆。,Maybe I should go help Tom.
他環遊世界旅行。,He made a journey around the world.
两个侦探跟着嫌疑人。,Two detectives followed the suspect.
我不信任汤姆而且汤姆也不信任我。,"I didn't trust Tom and he didn't trust me, either."
她說她感冒了。,She said she had a cold.
你相信鬼存在吗？,Do you believe in ghosts?
我们将于几分钟内降落在新东京国际机场。,In a few minutes we'll be landing at New Tokyo International Airport.
我受不了他。,I can't stand him.
她在做什麼？,What's she doing?
我們有時會看見他們。,We sometimes see them.
他送给我一份漂亮的礼物。,He gave a nice present to me.
我不想曬黑。,I don't want to get a suntan.
今晚有什么计划吗？,Do you have any plans for tonight?
箱子裡有蘋果嗎?,Are there any apples in the box?
我們的工作應該要加快。,We should work faster.
我觉得我是误删了这个文件。,I think I mistakenly deleted that file.
孩子們在放風箏。,The children were flying kites.
他們坐車去車站。,They went to the station by car.
她为了他的钱嫁给了他。,She married him for his money.
汤姆奇怪为什么他的房子里有只狗。,Tom wondered why there was a dog in his house.
魚和紅酒不合。,Fish and red wine don't go well together.
我在那一個觀點上同意他。,I agree with him on that point.
汤姆不能自已。,Tom couldn't control himself.
如果我早點到，就能遇到凱莉了。,"Had I arrived earlier, I could have seen Kelly."
在你面前是什麼東西？,What's in front of you?
你欠我一个人情。,You owe me a favor.
汤姆买了一打甜甜圈。,Tom bought a dozen donuts.
他給自己投了保險。,He insured himself.
你選誰當總統？,Who will you vote for for president?
那怎麼可能？,How can that be possible?
我非常小心了。,I was very careful.
我爸爸喜歡網球。,My father likes tennis.
他媽媽看起來比實際年齡年輕。,His mother looks young for her age.
谢谢你的答复。,Thank you for your reply.
我真想知道发生了什么。,I really want to know what's going on.
真是太好了。,It's great.
我想成为哲学家。,I wanted to become a philosopher.
汤姆后退一步。,Tom took a step backward.
我对你的厚颜无耻感到惊讶。,I am amazed at your audacity.
她跟我同年。,She and I are the same age.
你游泳游得比我好。,You swim better than I do.
停止射击。,Stop shooting.
我差不多完成了。,I'm almost done.
我不知道她是什么时候结婚的。,I don't know when she got married.
我们不要再说废话了。,Let's end this nonsense.
我对你刮目相看了。,I'm seeing you in a new light.
他在早餐前洗了个澡。,He had a shower before breakfast.
她決定辭去她的工作。,She decided to resign from her job.
我知道該走了，但我想留久一點。,"I know it's time to go, but I want to stay longer."
我一直很害怕。,I was scared all the time.
他三岁就到东京了。,He came to Tokyo at the age of three.
此处禁止停车。,Parking is prohibited here.
他辞职后逃离了这个国家。,He resigned and fled the country.
你認為如何?,What do you think about it?
他太年輕了無法獨自生活。,He was too young to live alone.
汤姆超重了。,Tom is overweight.
我会开车送你们去机场。,I'll drive you to the airport.
食物怎麼樣？,How was the food?
我想要点蛋糕。,I want some cake.
她总和她父母吵架。,She was always quarreling with her parents.
这种说法其实有点可疑。,This statement is actually kind of suspicious.
那個黑色提包是你的嗎?,Is that black bag yours?
昨天晚上你在哪裡?,Where were you last night?
他賣了一台豐田的車。,He bought a Honda.
你有任何治感冒的東西嗎?,Do you have anything for a cold?
他写了一封信。,He wrote one letter.
你有很好的幽默感。,You've got a great sense of humor.
你去看藝術展覽了嗎？,Did you go to the art exhibition?
我不在就别开始。,Don't start without me.
請把它包裝得像一個聖誕禮物。,Please wrap it like a Christmas present.
我让我哥修理我的自行车。,I had my brother repair my bicycle.
我不知道湯姆在睡覺。,I wasn't aware that Tom was sleeping.
请仔细洗牌。,Please shuffle the cards carefully.
請在名單上加上我的名字。,Please add my name to the list.
为什么她要做这种事情呢？,Why did she do that?
我贏得了第一名！,I've won first prize!
對不起，她不在這裡。,I'm sorry she's not here.
打開電腦。,Turn on the computer.
警察逮捕了竊賊。,The policemen arrested the burglar.
他选每个词都深思熟虑。,He chose every word with care.
玛丽不是真病。她只是装病。,Mary isn't really sick. She's only pretending to be sick.
你是甚麼時候買的？,When did you buy it?
明天他們將舉行派對。,They are having a party tomorrow.
我不知道任何有關他過去的事。,I don't know anything about his past.
市中心有很多旅馆。,There are many hotels downtown.
我知道真相。,I know the truth.
太惊喜了!,What a surprise!
我們住在美國。,We live in the United States.
那样是错的。,That was wrong.
汤姆和一堆陌生人在一起。,Tom was with a bunch of strangers.
汤姆被宰了。,Tom got ripped off.
气象学家说会有暴风雨。,The weatherman says there is a storm on the way.
他們等待著他們的老師。,They waited for their teacher.
我會待在家裡。,I'll stay home.
来吧，摸一下。,"Come on, touch it."
Tom尊敬他的父母。,Tom respects his parents.
我会尽快给你打电话的。,I'll call you as soon as I can.
他把天花板刷成了蓝色。,He painted the ceiling blue.
他一定是校長。,He must be the principal.
闭上你的眼睛。,Close your eyes.
总统在电视上对国民讲话。,The President spoke to the nation on TV.
那是一个安静的夜晚。,It was a quiet night.
在这停留，这不可能。,It's not possible to stop here.
是不是嚇人？,"Scary, isn't it?"
我想知道为什么汤姆要我们那样做。,I want to know why Tom wants us to do that.
我知道你覺得我瘋了。,I know that you think I'm crazy.
红色屋顶的房子是我叔叔的屋子。,That house with a red roof is my uncle's.
树是绿的。,The trees are green.
湯姆游泳可以游得跟你一樣快。,Tom can swim as fast as you.
我現在能睜眼嗎？,May I open my eyes now?
他说，“九点了”。,"He said, ""It's nine o'clock."""
你没注意到吗？,Didn't you notice?
你有學生證嗎？,Do you have your student ID card?
他问我是否很忙？,He asked me whether I was busy.
我认为我们准备好了。,I think we're ready to do that.
我真的很倒霉！,How unlucky I am!
我想吃點好吃的。,I want to eat something delicious.
你开着电视怎么能安心学习呢？,"With the T.V. on, how can you keep your mind on your studies?"
我還沒有下定決心。,I haven't made up my mind yet.
对工具箱里只有一把榔头的人来说，所有的问题都像钉子。,"To the man who only has a hammer in the toolkit, every problem looks like a nail."
我不再愛湯姆了。,I no longer love Tom.
我們幫助窮人。,We help the poor.
汤姆说他感觉好点了。,Tom says he feels a little better.
请把电视机关掉好吗？,Would you please turn off the TV?
許多亞洲人以英語作為共用的語言。,Many Asians have English as a common language.
我們承諾萬一他有麻煩的時候支持他。,We promised to stand by him in case of trouble.
我有一些錢。,I have a little money.
汤姆对我来说很重要。,Tom is very important to me.
他們在看一部電影。,They're watching a movie.
我觉得会更糟。,I thought it would be worse.
我明天把它寄给你。,I'll send it to you tomorrow.
他詳細地描述了事故狀況。,He described the incident in detail.
我的船是小的。,My boat is small.
你喝绿茶吗？,Do you drink green tea?
你知道怎麼說英語嗎？,Do you know how to speak English?
我一點也不累。,I'm not a bit tired.
不要根据封面来判断一本书。,Don't judge a book by its cover.
他一天一天地好轉。,He is getting better day by day.
汤姆有点醉。,Tom was a little drunk.
他的声音听着很舒服。,His voice is pleasant to listen to.
與她的妹妹相比，她不是很準時。,"Compared with her sister, she isn't very punctual."
湯姆打斷了我們的談話。,Tom interrupted our conversation.
汤姆不想一个人走。,Tom doesn't want to go alone.
别让汤姆走了。,Don't let Tom leave.
美丽的一天，不是吗？,"It's a nice day, isn't it?"
屋頂有一部分被刮走了。,Part of the roof blew off.
正式工比临时工要好。,A permanent job is better than a temporary one.
汤姆听到了一声喊叫。,Tom heard a shout.
你最好休息一下。,You'd better relax a bit.
我們所有的老師都很年輕並且喜愛教學。,All our teachers were young and loved teaching.
他正在学怎么开车。,He is learning how to drive a car.
現代船隻只需要一小組的船員。,Modern ships only need a small crew.
她是他的一切。,She is everything to him.
她拍拍她兒子的肩膀。,She patted her son on the shoulder.
他改变想法了。,He changed his mind.
没有爱的人生没有意义。,Life without love is meaningless.
这封信没署名。,This letter has no signature.
我爸爸走路。,My father walks.
你不冷吗？,Don't you feel cold?
你的手乾淨嗎?,Are your hands clean?
我不觉得他很诚实。,I don't think he is sincere.
有人帶了一些葡萄給我們。,Someone has brought us some grapes.
數學對我來說是一個容易的科目。,Mathematics is an easy subject for me.
白天变得越来越长。,The days are getting longer and longer.
看電視是一種被動的活動。,Watching TV is a passive activity.
胡萝卜要三美元。,Carrots cost three dollars.
那样说得通。,It makes sense.
这里的人习惯了寒冷。,The people here are accustomed to the cold.
我想要一些纸。,I want some paper.
他是一位著名的作曲家。,He is a famous composer.
你說的話沒有道理。,What you're saying makes no sense.
他經常駕駛他的父親的車。,He often drives his father's car.
年轻人应该尊敬老人。,The young should respect the old.
一年过去了，但仿佛我们昨天还见过面似的。,"A year has passed, but it's as if we saw each other only yesterday."
我最喜歡的運動是棒球。,My favorite sport is baseball.
今天晚饭吃什么。,What's for dinner tonight?
她跟我生气了。,She is mad at me.
坚持做对的事情。这会满足一部分人同时使另一部分人感到惊讶。,Always do right. This will gratify some people and astonish the rest.
请吃点蛋糕。,Please eat some cake.
我跟不上你的逻辑。,I can't follow your logic.
他的长相与年龄不符。,He doesn't look his age.
我摔斷了右腿。,I broke my right leg.
那是新买的鞋子吗？,Are those new shoes?
她很尊重她的導師。,She respects her homeroom teacher a lot.
你正在把我杯子里的东西喝掉。,You're drinking out of my cup.
我想哭。,I wanted to cry.
你的工作表現低於平均水平。,Your work is below average.
湯姆說他需要錢。,Tom said he needed money.
他砸坏的是这扇窗。,This is the window he broke.
她搭上了去原宿的巴士。,She got on a bus for Harajuku.
昨晚發生了一場火災，三棟房屋被燒毀了。,A fire broke out last night and three houses were burnt down.
你儿子正在和我女儿约会。,Your son is dating my daughter.
Tom写作可以写的像本国人一样，可是他的发音很烂,"Tom can write almost like a native speaker, but his pronunciation is terrible."
很多公司實行8小時工作制。,Lots of companies have implemented an eight-hour working day.
你的英語老師是誰？,Who is your English teacher?
汤姆病了。,Tom's sick.
这张桌子很重。,This table is heavy.
這不是好主意。,This isn't a good idea.
湯姆沒有参加會議。,Tom didn't attend the meeting.
我从来没想到会发生那种事。,I never thought that would happen.
我们正要进房间。,We were just about to enter the room.
你身上有很多钱吗？,Are you carrying a lot of money?
湯姆開始唱歌。,Tom started singing.
那是在我到家以后，我才不见了我的钱包。,It was not until I reached home that I missed my purse.
我是从新加坡来的。,I'm from Singapore.
我期待收到您的來信。,I'm looking forward to hearing from you.
當你提出一個問題，你期望得到答案。,"When you pose a question, you expect an answer."
昨天是多雲。,It was overcast yesterday.
我聽到前門的門鈴響了。,I heard the front doorbell ring.
这三个漂亮的女孩都是我的侄女。,These three pretty girls are all nieces of mine.
這隻鳥叫作什麼?,What do you call this bird?
我父親每天散步。,My father takes a walk every day.
她有一双迷人的眼睛。,She has attractive eyes.
汤姆是在下个星期一回来吗？,Is it next Monday that Tom returns?
Tom是我爺爺。,Tom is my grandfather.
他死於一場車禍。,He was killed in a car accident.
你午饭吃的不多，不是吗？,"You didn't eat much lunch, did you?"
我想你。我需要见你。我能来吗？,I miss you. I need to see you. Could I come over?
這本書是給母語不是日語的學生的。,This book is for students whose native language is not Japanese.
她告訴我她認識我的哥哥。,She told me she knew my brother.
我叔叔偶爾來看我。,My uncle comes to see me from time to time.
汤姆喜欢科幻。,Tom likes science fiction.
他有个装满草莓的篮子。,He has a basket full of strawberries.
我对方言很感兴趣。,I'm very interested in dialects.
他很懒。,He is lazy.
谁爱谁？,Who loved who?
他将袜子的里外穿反了。,He had his socks on inside out.
大多数男生喜欢电脑游戏。,Most boys like computer games.
你有認識好的牙醫嗎？,Do you know a good dentist?
我能了解她在說什麼。,I can understand what she is saying.
校长想跟你谈话。,The principal wants to talk to you.
我不是你母親。,I'm not your mother.
他有两个女儿。,He has two daughters.
公事公辦。,It's business.
你有种奇怪的幽默感。,You have a strange sense of humor.
自从他离开去法国，已经有两个月了。,Two months have passed since he left for France.
你得检查一下眼睛。,You need to get your eyes checked.
我搞错了。,I've made a mistake.
我的一些朋友英语说得很好。,Some of my friends can speak English well.
那个我以为诚实的男孩欺骗了我。,The boy I thought was honest deceived me.
我妈妈眼含着泪看我。,My mother looked at me with tears in her eyes.
我們會很忙。,We'll be busy.
你以为我造钱啊？,Do you think I'm made of money?
他們都在尋找這個失蹤的孩子。,They all looked for the lost child.
我不知道汤姆是你的堂兄。,I didn't know Tom was your cousin.
汤姆必须留下。,Tom has to stay behind.
我爱这里的人们。,I love the people here.
馬停了下來，而且拒絕移動。,The horse stopped and refused to go on.
這是他工作的辦公室。,This is the office in which he works.
十七歲的男孩常常長得和他父親一樣高。,A boy of seventeen is often as tall as his father.
他的新車很棒。,His new car is wonderful.
你想喝點什麼嗎？,Do you want a drink?
我必须去医院吗？,Do I have to be hospitalized?
他很難對付。,He is hard to deal with.
请坐一会。,Please remain seated for a few minutes.
他把感冒传染给我了。,He gave me a cold.
语法是很复杂的。,Grammar is a very complex thing.
祝你好梦。,I hope you have sweet dreams.
以前，玛丽想和一位有雄心壮志的男人结婚。,Mary wanted to marry a man with ambition.
你的蛋糕很美味。,Your cake is delicious.
湯姆看來隨和。,Tom seems to be easygoing.
他一年到頭努力工作。,He works hard all the year round.
会不会只有我一个人去聚会？,Will I be the only one going to the party?
你需要可以幫助你的朋友。,You need to have friends who can help you out.
天快要下雨了。,It's about to rain.
那個店裡沒有合我尺寸的帽子。,There are no hats in that store that fit me.
我知道你喜欢体育运动。,I know that you like sports.
你做完了嗎?,Have you finished doing that?
他说他累了，所以他想早点回家。,"He said he was tired, so he would go home early."
我想延长这里的住宿多几天。,I want to extend my stay here for a few more days.
瑪麗不會聽她朋友的忠告。,Mary won't listen to her friend's advice.
“谢谢你的帮助。”　“不用谢。”,"""Thank you for your help."" ""It's my pleasure."""
您迷路了吗？,Are you lost?
我的手指頭有一根刺。,I have a thorn in my finger.
他说话就像一位老师。,He talks as if he were a teacher.
每个人都知道汤姆的法语很好。,Everyone knew Tom was good at French.
生产日期在盖子上。,The date of manufacture is shown on the lid.
您多久见他一次？,How often do you see him?
汤姆当上了部长。,Tom became a minister.
她是坐火車去上海的。,She went to Shanghai by train.
这个孩子长大后成为了一个伟大的政治家。,The boy grew up to be a great statesman.
相信我。,Trust me.
顯然地她生病了。,It's obvious that she's sick.
喜歡什麼就隨便吃吧。,Help yourself to anything you like.
我會游泳。,I'm able to swim.
主要的问题是汤姆的感受如何。,The main question is how does Tom feel.
汤姆拒绝帮玛丽做她的作业。,Tom refused to help Mary do her homework.
她照顧孩子們。,She took care of the children.
到机场有多远？,How far is it to the airport?
我們平分這筆錢。,We divided the money between us.
请帮我找一下我的钱包。,Please find me my wallet.
现在他们有三个孩子。,They now have three kids.
他應該感謝您。,He should thank you.
抓住汤姆。,Grab Tom.
坚持。,Hang on!
你總是在抱怨。,You are always complaining.
我觉得汤姆不太可能会当选。,I think it's unlikely that Tom will get elected.
我找不到刀。,I can't find the knife.
我昨天喝多了,I drank too much yesterday.
这不关我的事。,This has nothing to do with me.
還有更大的胡蘿蔔嗎？,Are there any bigger carrots?
理论得联系实际。,Theory and practice should go hand in hand.
记住汤姆的建议。,Remember Tom's advice.
我知道為甚麼湯姆學法語。,I know why Tom is studying French.
洗手间的灯坏掉了。,The lights in the bathroom aren't working.
我从没见过那么壮丽的日落景色。,Never have I seen such a beautiful sunset.
那本書很有趣。,That book was interesting.
我不能让你进来这里。,I can't let you in here.
你的名字叫什么？,What is your name?
不論發生了什麼事，我會永遠愛你。,"I'll always love you, no matter what happens."
我不会做任何事。,I can't do anything.
你家的電話號碼幾號？,What's your home phone number?
由于天气不好，飞机迟到了3小时。,The plane was three hours late due to bad weather.
我最讨厌背诵课文了。,What I hate most of all is having to recite texts from memory.
许多人嫉妒汤姆的成功。,Many people envy Tom's success.
我希望我能停止打嗝。,I wish that I could stop hiccuping.
你家電話號碼是多少？,What's your home phone number?
"""他昨天寫了一封信嗎?"" ""是的, 他寫了。""","""Did he write a letter yesterday?"" ""Yes, he did."""
祝您好运。,I wish you good luck.
我不經常自己去做。,I don't often do that by myself.
這個老人獨自住在那裡。,The old man lived there by himself.
你曾經愛過一個男人嗎？,Have you ever loved a man?
我昨晚十二点去睡的。,I went to bed at twelve last night.
他跑得非常快。,He's running very quickly.
你交報告了嗎？,Have you turned in your report?
我今天没有时间去那里了。,I don't have time to go there today.
你說太多了。,You talk too much.
我同意他。,I agree with him.
我和她的男朋友在一起上班。,I work with her boyfriend.
你要留言嗎？,Would you like to leave a message?
它太大聲。,It's too loud.
晚飯後她變得昏昏欲睡。,She became drowsy after supper.
湯姆現在正在外面哭。,Tom is crying outside right now.
哪一本書比較好？,Which book is better?
你可以照顧一下孩子們嗎?,Would you please look after the children?
他不在家。,He isn't at home.
我厌倦了这种生活。,I'm tired of living this kind of life.
她相信他說的任何事。,She believes whatever he says.
你知道湯姆能在哪裡嗎？,Do you have any idea where Tom could be?
你下个周末有什么安排？,What have you got planned for next weekend?
我對他的問題感到非常迷惑。,I was terribly confused by his question.
她跑。,She runs.
那你是怎么做的？,How did you do that?
我们在哪里见面？,Where are we going to meet?
太阳在西边落下。,The sun sets in the west.
由於下大雪，從北京来的班機延遲二十分鐘。,"Because of heavy snow, the plane from Beijing arrived 20 minutes late."
为什么你不在这里等到我做完为止？,Why don't you wait here while I finish what I'm doing?
由于某些原因，她看起来很忧伤。,She looks blue for some reason.
飲酒者不准禁入。,People who drink alcoholic beverages are not allowed to enter.
我不会再说了。,I'm not going to say it again.
我喜欢独自旅行。,I like to travel alone.
這附近有一個軍事基地。,There is a military base near here.
快点。,Make it quick.
他是村子里面唯一在世的人。,He's the only survivor in the village.
你有兄弟姐妹吗？,Do you have any siblings?
相互理解能促进和平。,Mutual understanding promotes peace.
幫我看著我的相機。,Watch my camera for me.
你见到今天早上的彩虹了吗？,Did you see the rainbow this morning?
你英语说得很流利。,You speak fluent English.
他以一個偉大的詩人聞名。,He is known as a great poet.
我們輪流駕駛。,We took turns with the driving.
你喜歡兔子嗎？,Do you like rabbits?
我承認我錯了。,I'll admit I'm wrong.
一定是有人偷了你的手錶。,Someone must've stolen your watch.
突然開始下雨。,Suddenly it began to rain.
汤姆醉得连我都认不出来了。,Tom was so drunk that he didn't even recognize me.
你想要待多久就待多久。,You can stay as long as you like.
這是不證自明的。,It's self-evident.
帮帮我们吧！,Help us.
他总是带着黑色眼镜。,He always wears dark glasses.
我也不會做。,I can't do it either.
这是个小镇。,This is a small town.
做你所想的是最好的。,Do what you think is best.
花园被木栅栏围了起来。,The garden was surrounded by a wooden fence.
他犯了一些文法錯誤。,He made a few grammatical mistakes.
你看起来很困了。,You're looking tired.
我不時地覺得難過。,I feel sad every now and then.
今天不比昨天悶熱。,It is less muggy today than it was yesterday.
他開會往往會遲到。,He tends to be late for meetings.
她把我誤認為是我的兄弟。,She mistook me for my brother.
你打算自己一人把它全部吃了吗？,Did you plan to eat all of that yourself?
把火轉小一點。,Turn the flame down low.
汤姆有他自己的问题。,Tom has got his own problems.
她不让我们知道真相。,She's hiding the truth from us.
英語在大部份的國家被教授。,English is taught in most countries.
我今天的心情不好。,I'm in a bad mood today.
汤姆想洗个澡。,Tom wanted to take a shower.
你能在我的背上涂些防晒霜吗？,Can you put some suntan lotion on my back?
他買土地的目的是要造房子。,He bought the land for the purpose of building a house on it.
我努力忍住哭。,I tried to keep from crying.
他靠寫作謀生。,He earns his living by writing.
用英文写情书不容易。,It's not easy writing a love letter in English.
我希望再次见到它。,I hope to see it again.
我想認識你姐姐。,I want to meet your older sister.
下个月我们会有辆新车。,We're getting a new car next month.
我不知道我能不能做。,I don't know if I can do it.
幸運的是，我們找到了逃生通道。,"Luckily, we found an escape route."
只有成人可以看那种电影。,Only adults may watch that film.
你會參加嗎？,Will you join us?
我沒想到這麼快就收到湯姆的回信。,I didn't expect to hear back from Tom so soon.
夏天已經結束。,Summer has ended.
你是一个美丽的女孩。,You're a beautiful young woman.
我不知道这个用日语该怎么说。,I don't know how to put it in Japanese.
孩子们的衣食住行靠的是他们的父母。,"Children depend on their parents for food, clothing and shelter."
明天我会问他的。,I will ask him tomorrow.
汤姆在这里工作了几年？,How many years did Tom work here?
湯姆說瑪麗打鼾。,Tom said that Mary snored.
别用机翻。,Don't use computer translation.
我比汤姆有钱。,I have more money than Tom.
让我像这样继续下去是绝对不可能的。,It's absolutely impossible for me to go on like this.
你会去哈佛大学吗？,Will you go to Harvard?
试着用积极的态度去面对任何事情。,Try to have a positive attitude about everything.
我們只是想找Tom。,We just want to find Tom.
你不能來真是太糟糕了。,It's too bad that you couldn't come.
我想喝醉。,I wanted to get drunk.
我們想回家。,We want to go home.
她邊哭邊回答。,She was crying as she answered.
他否認打破了窗口。,He denies having broken the window.
我能打开盒子吗?,May I open the box?
我在这儿有一些朋友。,I have a few friends here.
她几乎不说英语。,She spoke scarcely a word of English.
让我们和他们讨论这个问题吧。,Let's discuss the problem with them.
昨晚我的自行车被偷了。,I had my bicycle stolen last night.
很难说明天的天气将会怎样。,It's hard to predict what the weather will be like tomorrow.
你太天真了。,You're too naive.
這隻狗對著陌生人叫。,The dog barked at the stranger.
你的租金遲交了一個月。,You're a month behind in your rent.
汤姆三年前去了波士顿。,Tom came to Boston three years ago.
你太太怎么样？,How is your wife?
你絶對確定這事嗎？,Are you absolutely certain about this?
我真的很感激你所做的一切。,I really appreciate what you've done.
他贏的機會極小。,There is little chance of his winning.
汤姆是我所知道的最有钱的家伙。,Tom is the richest guy I know.
她企圖自殺。,She attempted suicide.
你看来是个小女孩。,You look like a little girl.
你給測驗評分了嗎?,Did you grade the tests?
我认为一部电影的乐趣远胜于任何一本书。,I think a movie is more entertaining than any book.
那男人是谁？,Who is that man?
我絕對信任你。,I have absolute trust in you.
但你不在那裡。,But you're not there.
他们都像这一样吗？,Are they all like this?
恐怕已經沒有咖啡了。,I'm afraid there isn't any coffee left.
汤姆刚好准时到了。,Tom showed up just in time.
我們只是需要確認Tom有要來這。,We just have to make sure Tom is planning to be here.
你有零錢換一元美金嗎？,Do you have change for a dollar?
他停下来好穿鞋。,He stopped to put on his shoes.
這隻狗是兩個月前出生的。,This dog was born two months ago.
我叔叔開旅館。,My uncle runs a hotel.
这就是那个作家自杀的房间。,This is the room where the author killed himself.
你介意我移動你的車嗎？,Would you mind my moving your car?
我会把这本书给你。,I will give you this book.
客廳緊鄰著餐廳。,The living room adjoins the dining room.
法律有很多不明确的地方。,The law is full of ambiguities.
从这里步行到你家要多长时间？,How long does it take to walk to your house from here?
你能待一会吗？,Can you stay for a while?
