src,trg
你是湯姆的朋友，不是嗎？,"You are a friend of Tom's, aren't you?"
讓我送你到車站吧。,Let me give you a lift as far as the station.
你感觉得到它吗？,Can you feel it?
我在這個小鎮上長大的。,I grew up in this small town.
我的嗜好是做模型飛機。,My hobby is making model planes.
他被趕出了這棟房子。,He got thrown out of the house.
請說大聲一點兒。,Please speak more loudly.
美驻留在看的那个人的眼里。,Beauty's in the eye of the beholder.
汤姆甚至连怎么煎鸡蛋都不知道。,Tom doesn't even know how to fry an egg.
你應該問你父親的忠告並遵守它。,You should ask your father for his advice and follow it.
他踢了那顆球。,He kicked the ball.
那是我的。,That's mine.
昨晚下了一場大雨。,We had a heavy rain last night.
目前，我正在這所語言學校學習法語。,"For the time being, I'm studying French at this language school."
壓力很巨大。,The pressure was tremendous.
你今天早上喂过狗了吗？,Did you feed the dog this morning?
我永远不会忘记那次跟她一起去夏威夷。,I'll never forget going to Hawaii with her.
湯姆說他的家裡有把槍。,Tom said he keeps a gun in his home.
他的馬跳過了柵欄。,His horse jumped over the fence.
你怎么回来得这么快？,How did you get back so soon?
汤姆的东西在哪里？,Where're Tom's things?
你是怎麼見到湯姆的？,How did you meet Tom?
我在家裡。,I'm home.
你不是救过我的人嗎？,Aren't you the one who saved me?
死了就像做梦似的。,Death is like dreaming.
我常常在週日打網球。,I often play tennis on Sunday.
我的兄弟已经成为了牧师。,My brother has become a priest.
根據報載，有一架飛機昨天晚上發生了意外。,"According to newspaper reports, there was an airplane accident last evening."
我還沒和湯姆討論過那個。,I haven't discussed that with Tom.
我不能永远地等。,I can't wait forever.
你很快就會收到他的信。,You will soon hear from him.
我會為這次行動負起全責。,I take full responsibility for the action.
我一点都不好。,I'm not well at all.
你週末有什麼計劃？,What are your weekend plans?
我能问一下您的姓名和住址吗？,Might I ask your name and address?
让事情更糟糕的是，他没有注意到他打扰到了邻居。,"To make matters worse, he isn't even conscious of annoying his neighbors."
起初我不知道為什麼。,"At first, I had no idea why."
音乐的重要性被低估了。,The importance of music is underrated.
開車時打字是危險的。,Texting while driving is dangerous.
汤姆在起居室里。,Tom is in the living room.
几分钟后，电话响了。,"Several minutes later, the telephone rang."
湯姆整夜一直在說話。,Tom kept talking all night.
湯姆知道他該幫瑪麗。,Tom knew he should help Mary.
只要我們彼此相愛，我們會沒事的。,"As long as we love each other, we'll be all right."
湯姆說他認為他該學法語。,Tom said he thought that he should study French.
我同意他的觀點。,I agree with his opinion.
明天我一整天都在家。,I'll be at home all day tomorrow.
我不想問他。,I have no intention of asking him.
我不喜欢葱。,I don't like green onions.
我從來沒有上學遲到。,I'm never late for school.
禍不單行。,It never rains but it pours.
他把錢投資於股票。,He invested his money in stocks.
我不知道说什么。,I don't know what to say.
我想在這條河裡游泳。,I'd like to swim in this river.
请用座。,Please sit.
你一定睡著了。,You must've been asleep.
我有點不舒服。,I'm not quite well.
你该把事实说出来。,You should tell the truth.
你最好不要再去那裡。,You'd better not go there again.
這座山被雪所覆蓋。,That mountain is covered with snow.
这架飞机一次可以携带40名乘客。,This airplane is capable of carrying 40 passengers at a time.
问我简单些的。,Ask me something easier.
你喜不喜欢没关系。,Whether you like it or not doesn't matter.
计划被执行了。,The plan was carried out.
把我的電視機修好花了我一萬日元。,It cost me ten thousand yen to have my television set repaired.
我会参加下次的会议。,I'll attend the next meeting.
人人生来平等。,All people are born equal.
在十九世纪三十年代的大萧条时期，许多富人在股市崩盘中失去了一切。,"During the Depression in the 1930's, many wealthy people lost everything in the stock market crash."
我想他会很快回来的。,I suppose he will be back soon.
为什么您想到外国读书？,Why do you want to study abroad?
Mary擁抱她的娃娃。,Mary hugged her doll.
你们怎么读这个词？,How do you say this word?
我是認真的。,I'm serious.
不可殺人。,Thou shalt not kill.
您能帮我吗？,Can you help me?
你為什麼都不說話?,How come you didn't say anything?
你该去理发店了。,You need a haircut.
她拒絕做他們想要的事。,She refused to do what they wanted.
只有你回答了这个问题。,Only you answered the question.
她什麼都不做只會抱怨。,She does nothing but complain.
別走！,Don't leave!
"在你兩歲時, 你可以數到十。",You could count to ten when you were two.
我認為湯姆有才能。,I think Tom is talented.
汤姆大约三年前开始学法语。,Tom began to learn French about three years ago.
我也会想你的。,"I'm going to miss you, too."
請記得把信寄出去。,Please remember to mail the letter.
你喜欢日本菜吗？,Do you like Japanese food?
他們在吃他們的蘋果。,They're eating their apples.
你觉得这件毛衣怎么样？,What do you think of this sweater?
把它保存在外接式硬碟。,Save it on the external hard drive.
我想請你們幫個忙。,I'd like your help.
第二课容易。,Lesson Two is easy.
他總是在讀書。,He is always studying.
湯姆怕有人看到他。,Tom is afraid that someone will see him.
汤姆也喜欢吃鱼。,Tom also likes to eat fish.
为什么你昨晚睡不着？,Why couldn't you sleep last night?
如果他是清白的，那他妻子就有罪。,"If he is innocent, it follows that his wife is guilty."
装病是没用的。,There is no point in pretending to be sick.
这个人靠不住的。,This man is not reliable.
我认出了一些汤姆演奏的调子。,I recognized some of the tunes that Tom played.
我们必须遵纪守法。,We ought to obey the law.
你在撒谎。,You are lying.
湯姆在名單上。,Tom was on the list.
汤姆在帮玛丽吗？,Is Tom helping Mary?
你昨天看到的那个男人是我叔叔。,The man you saw yesterday was my uncle.
你應該多吃蔬菜。,You should eat more vegetables.
您走太快了。,You're walking too fast.
这是个很难解决的问题。,This is a difficult problem to solve.
汤姆(Tom)决定出家为僧。,Tom decided to become a monk.
我丢了我的伞。,I've lost my umbrella.
巴西的首都是巴西利亚。,The capital of Brazil is Brasilia.
每次下雨屋頂就漏水。,"Every time it rains, the roof leaks."
我還沒有聽過那個故事。,I haven't heard that story yet.
这对于汤姆是新体验。,This is a new experience for Tom.
他给我们看他母亲的照片。,He showed us his mother's picture.
天气又冷又湿。,"The weather was not only cold, but also wet."
明年你会是几岁？,How old will you be next year?
这个盒子里有很多蛋。,There are a lot of eggs in the box.
我不能忍受。,I can't stand it.
你会去访问其他国家吗？,Are you going to visit any other countries?
在回家的路上，我看到一场阅兵式。,I caught sight of a parade on my way home.
不好意思，我没零钱。,"Sorry, I don't have any change."
精通英語是困難的。,To master English is difficult.
她遇到了麻煩，因為她弄丟了她的護照。,She was in trouble because she lost her passport.
让我像这样继续下去是绝对不可能的。,It's absolutely impossible for me to go on like this.
它的滋味真的很好。,It tastes really good.
我们几乎没空吃早饭。,We hardly have time to eat breakfast.
不管喜不喜歡，我們都得參加那個會議。,"Like it or not, we have to attend that meeting."
安全地駕駛。,Drive carefully.
你进这幢楼的时候是几点？,What time was it when you entered the building?
他總是忘記事情。,He is always forgetting things.
把水燒開。,Boil the water.
我現在在加拿大很開心。,I'm having a great time in Canada.
睡觉时间到了。,It's time to hit the sack.
他獨自住在森林裡。,He lives by himself in the woods.
我坐地鐵上學。,I go to school by subway.
他們三年前搬到了這裡。,They moved here three years ago.
她從早上工作到夜晚。,She worked from morning till night.
他们为祖国而战斗。,They fought for the sake of their country.
他去和他的表弟待在一起了。,He went to stay with his cousin.
你今天午餐吃什么？,What will you have for lunch today?
他把那封信原封不動寄回去了。,He sent the letter back unopened.
你不需要隨身帶著午餐。,You don't need to carry lunch with you.
美國的司法制度是世界上最好的。,The legal system in America is the world's finest.
她現在忙，沒有辦法跟您說話。,She's busy now and can't talk with you.
你會在日本多久?,How long are you going to stay in Japan?
公共汽車每10分鐘一班。,The buses run every ten minutes.
这种人注定惨败。,That kind of person will fail for sure.
她明天可能不會來這裡。,She may not come here tomorrow.
汤姆好，但不够好。,"Tom is good, but not good enough."
你真的相信那故事嗎？,Do you really believe that story?
他真是甜心。,He's such a sweetheart.
我没能让他認識到他的错误。,I could not convince him of his mistake.
我放棄了所有生存的希望。,I gave up all hope of survival.
学校会提供帐篷给我们。,The school will provide tents for us.
每位会员每月需支付一万日元。,"Each member has to pay 10,000 yen a month."
我是她的，而她是我的。,I'm hers and she's mine.
和他争论这件事得不出结果。,It is no use arguing with him about it.
我喜歡旅行。,I like traveling.
我仅仅是在和Tom交谈。,I was just talking about Tom.
好天气能持续到明天吗？,Will the fine weather keep up till tomorrow?
湯姆是我的朋友。,Tom is my friend.
他来还是不来，结果是一样的。,"Whether he comes or not, the result will be the same."
大家都还行。,Everyone was okay.
我差點被淹死。,I almost drowned.
這幾乎不值得討論。,It is hardly worth discussing.
她的頭髮長回來了。,Her hair grew back.
我沒做不尋常的事。,I did nothing out of the ordinary.
我們上週參觀了博物館。,We visited the museum last week.
我认为我们不应该跟汤姆一起走。,I don't think that we should go with Tom.
他磕碎了下巴，掉了几颗牙。,He got a broken jaw and lost some teeth.
我需要学习数学。,I need to study math.
她搭上了去原宿的巴士。,She got on a bus for Harajuku.
量力而行。,Pace yourself.
我沒打算叫醒你。,I didn't mean to wake you.
昨天他帶我去公園。,He took me to the park yesterday.
他犯了兩次相同的錯誤。,He has made the same mistake twice.
你應該為你自己感到羞恥。,You ought to be ashamed of yourself.
我喜歡去滑雪。,I'd like to go skiing.
别跟我说你不知道。,Don't tell me you didn't know.
他一個月賺多少？,How much does he earn per month?
我也是這麼想的。,I was thinking that as well.
她试过了。,She tried.
你今天最好不要出門。,You'd better not go out today.
他們看起來好像要哭了。,They looked as if they would cry.
我就坐这儿。,I'll just sit here.
谁也不知道。,Nobody knows.
醫生把它給了她。,The doctor gave it to her.
你收私人支票嗎?,Will you take a personal check?
我从来没感觉那么好过。,I have never felt better.
她正在讀一本園藝手冊。,She was reading a gardening manual.
這條路太窄汽車無法通行。,The road is too narrow for cars.
你知道我是正确的。,You know I'm right.
湯姆不能開車。,Tom cannot drive.
你最好不要去。,You'd better not go.
这是我们的荣幸。,It's our pleasure.
你的包在哪裡？,Where's your bag?
Tom有獸醫背景。,Tom has a veterinary background.
他沒說再見就離開了房子。,He left the house without saying goodbye.
这个实验室配备了最新的计算机。,This laboratory is equipped with the latest computers.
我還是不明白出了什麼事。,I still don't understand what's going on.
我们不去度假。,We're not going on vacation.
雨下个不停。,It is raining all the time.
我在困難時總是依賴他。,I always rely on him in times of trouble.
他因為生重病不能來。,He could not come because of his serious illness.
我整天在農場上工作。,I worked on the farm all day.
好的開始是成功的一半。,Making a good start is half the battle.
躺下來讓自己舒服一點。,Lie down and make yourself comfortable.
下週一再見。,See you again next Monday.
让我们享受这平静和安宁。,Let's just enjoy this peace and quiet.
你知道我在做什麼嗎？,Do you know what I'm doing?
請讓我為你拍照。,Please let me take your picture.
再多一些烤牛肉怎麼樣?,How about some more roast beef?
他来试试。,He tries.
要是我是你，我就会去。,I would go if I were you.
他在早餐前洗了个澡。,He had a shower before breakfast.
這讓我難過。,This makes me sad.
这永远不会再发生了。,This will never happen again.
我收到汤姆的一条紧急消息。,I have an urgent message from Tom.
湯姆告訴我他想贏。,Tom told me he wanted to win.
人们相信鲸有他们自己的语言。,It is believed that whales have their own language.
当我们走到转角处，湖就映入了眼帘。,"As we went around the corner, the lake came into view."
學校在山丘頂上。,The school is on top of the hill.
汤姆说玛丽打他。,Tom said that Mary hit him.
他有三个姐姐。,He has three older sisters.
当我还是个孩子的时候，我在这个泳池里游过泳。,"When I was a child, I used to swim in that pond."
你的看法過於樂觀。,Your view is too optimistic.
謝謝您今晚的光臨。,Thanks for coming over tonight.
她一週之內會回來。,She will be back within a week.
直到会议结束之前都没人注意到她不在。,No one noticed her absence until the end of the meeting.
Tom對烹飪很在行。,Tom is quite good at cooking.
他昨晚睡得很好。,He slept well last night.
我一把孩子抱在手里，他就开始哭了。,"The moment I held the baby in my arms, it began to cry."
那輛在樹下的自行車是我的。,The bicycle under the tree is mine.
你能告诉我们。,You can tell us.
請於五點鐘到機場接我。,Please pick me up at the airport at five.
這是我的朋友。,This is a friend of mine.
我能看德语，但是不能说。,"I can read German, but I can't speak it."
這艘船有六個槳。,This boat has six oars.
充足的休息十分重要。,It's very important to get enough rest.
我現在非常餓。,I'm very hungry now.
别告诉任何人我尿床了。,Don't tell anyone that I wet the bed.
我明白这概念。,I understand the concept.
任何學生都可以回答這個問題。,Any student can answer that question.
我看电视时睡着了。,I fell asleep while watching TV.
湯姆在學校裡，不是麼？,"Tom is at school, isn't he?"
你覺得Tom的廚藝如何？,What do you think of Tom's cooking?
有過任何改變嗎？,Have there been any changes?
我们现在有了麻烦。,We have a problem here.
他说的话根本毫无意义。,The things he says are entirely inconsequential.
我厌倦了英语。,I'm sick of English.
除非你有什么值得说的话要说，否则就别吭声。,Don't speak unless you have something worth saying.
这没什么好担心的。,There is no cause for worry.
他说话太快了。,He talks too fast.
湯姆打破了窗戶。,Tom broke the window.
书架和桌子齐平。,The bookcase is level with the table.
我講法語和英語。,I speak French and English.
我知道生命是短暂的。,I know life is short.
你在寫信嗎?,Are you writing a letter?
窮鼠囓狸。,A cornered rat will bite a cat.
稻米生長在溫暖的國家。,Rice grows in warm countries.
我不太看报纸。,I don't really read newspapers.
他給自己投了保險。,He insured himself.
他跟他们干脆地断绝来往了。,He made a clean break with them.
我正在找一個助手。,I'm looking for an assistant.
我常常访问我的亲戚。,I often visit my relatives.
我參加游泳社。,I belong to the swimming club.
我会留疤吗？,Will I have a scar?
我不懂发生了什么。,I can't understand what happened.
我需要去派對嗎？,Do I have to go to the party?
我感觉有滴雨落在头上。,I felt a drop of rain on my head.
你每天睡几个小时？,How many hours a day do you sleep?
我认为我们有麻烦。,I think we're in trouble.
我通常在外面吃饭。,I usually eat out.
我将要飞到波士顿去。,I'll be flying to Boston.
我哥住在一座小村庄里。,My brother lives in a small village.
昨天是多雲。,Yesterday was cloudy.
我聽說湯姆能做。,I heard Tom could do that.
别浪费时间。,Don't waste your time.
你的腳踏車比我的好。,Your bicycle is better than mine.
汤姆开始说话。,Tom began to talk.
我只是希望我们能离开这个可怕的地方。,I just wish we could leave this horrible place.
在左边有一条秘密通道。,There's a secret passage on the left.
我不喜欢喝茶。,I don't like tea.
我總是在外面吃飯。,I always eat out.
我厌倦了我的工作。,I am tired of my work.
我們必須拔除雜草。,We have to pull the weeds.
自然充满了神秘。,Nature is full of mysteries.
对不起，我迟到了。,Pardon me for coming late.
雨下了一周。,The rain lasted a week.
他試著在地板上睡覺。,He tried to sleep on the floor.
谁是你最喜爱的电视明星？,Who is your favorite TV star?
我登廣告賣我的車。,I advertised my car for sale.
選擇你喜歡的球拍。,Choose your favorite racket.
汤姆知道玛丽什么时候来。,Tom knew when Mary would be arriving.
汤姆差点在河里淹死了。,Tom almost drowned in the river.
我喜歡花。,I like flowers.
我现在30岁了。,I am 30 years old now.
她對被稱為懦夫很反感。,She resented being called a coward.
他努力学习，为的是能够考上大学。,He studied hard in order to get into college.
我昨晚作了一個好夢。,I had a pleasant dream last night.
到别处去做。,Do it somewhere else.
我猜想你可能是对的。,I think perhaps you're right.
她对我来说是一个完全陌生的人。,"As far as I'm concerned, she's a complete stranger."
我們是男孩。,We're boys.
你喜歡日本料理嗎?,Do you like Japanese food?
不要让自己因为一些小事就方寸大乱了。,Stop getting yourself worked up over little things.
谁也不在那里。,No one was there.
跟你共事总是很愉快。,It has always been a pleasure to work with you.
我女儿想要一只小猫。,My daughter wants a kitten.
只有六個人參加了派對。,There were only six people at the party.
我来警告你别那样做。,I came to warn you not to do that.
我確定你永不後悔。,I'm sure you'll never regret it.
我该去睡觉了。,I need to go to bed.
我想跟你这样的人结婚。,I'd like to get married to someone like you.
他模仿了梵高的作品。,He imitated the works of Van Gogh.
汤姆昨天用刀切到自己了。,Tom cut himself with his knife yesterday.
天空变得越来越暗了。,The sky grew darker and darker.
我不喜欢这个。,I don't like this one.
湯姆和瑪麗會跟我走。,Tom and Mary will go with me.
湯姆應該要被開除。,Tom should be fired.
我不推荐在那家餐馆吃饭。食物糟糕透了。,I don't recommend eating in that restaurant. The food is awful.
你有很多笔吗？,Do you have a lot of pens?
她不在乎她的穿著。,She doesn't care how she dresses.
雨季何時會結束？,When will the rainy season be over?
你本来可以回答那问题。,You could've answered that question.
我們都想知道她為什麼甩了這麼好的一個男人。,We all wondered why she had dumped such a nice man.
我希望你慢下來。,I wish you'd slow down.
“我也那样觉得。”她附和道。,"""I think so, too,"" she chimed in."
我現在正在踢足球。,I'm playing football now.
一切都在变。,Everything's changing.
我怎样报名参加呢？,How do I sign up?
汤姆丢了车钥匙。,Tom lost his car keys.
有關癌症成因的研究耗費頗巨。,Research on the causes of cancer is very expensive.
我們想要糖。,We want candy.
她用一條毯子把自己裹起來。,She wrapped herself in a blanket.
他愛她。她也愛他。,"He loves her. She loves him, too."
"如果你不更加努力地學習, 你將永遠不會有所成就。",You'll never achieve anything if you don't study harder.
汤姆见到我并没有惊讶。,Tom wasn't surprised to see me.
午餐送到了。,Lunch is on.
保持安静！,Keep quiet.
咱们点两瓶吧。,Let's order two bottles.
汤姆不想谈这件事。,Tom doesn't want to talk about it.
十支隊伍競逐獎項。,Ten teams competed for the prize.
他喜欢地理和历史。,He likes geography and history.
我會告訴我的妻子。,I'll tell my wife.
汤姆看不到任何人。,Tom couldn't see anybody.
我能用你的电话吗？,Can I use your phone?
让我想一想。,Let me see.
汤姆知道我们在做什么。,Tom knows what we're doing.
我觉得汤姆不太可能会当选。,I think that it's unlikely Tom will get elected.
我需要加薪。,I need a raise.
我不去学校。,I don't go to school.
把球丟還給我。,Throw the ball back to me.
他們幫他去加拿大。,They helped him get to Canada.
把它带给我。,Bring it to me.
有些人很難取悅。,Some people are difficult to please.
汤姆的手在颤动。,Tom's hands are shaking.
是誰的錯呢？,Who's to blame?
汤姆不能走路了。,Tom can't walk.
湯姆不跟任何人說話。,Tom doesn't talk with anyone.
她是个女程序员吗？,Is she a computer programmer?
我们有你的尺寸，但是没有那个颜色。,"We have your size, but not in that color."
他讓對面的房間都能聽到他的聲音。,He made himself heard across the room.
再找時間吧。,Let's do it another time.
每个人都知道汤姆的法语很好。,Everyone knew Tom could speak French well.
我在陽臺上。,I'm on the balcony.
死人不會告密。,Dead men tell no tales.
你有任何要申報的東西嗎？,Do you have anything to declare?
日本的新學年在四月開始。,"In Japan, the new school year begins in April."
迟到总比不到好。,Better late than never.
我哥在车祸中受伤了。,My brother was injured in the car accident.
他的父母為他的大學教育存錢。,His parents are saving for his college education.
他娶了一个空姐。,He married an air hostess.
我今天有點發燒。,I have a slight fever today.
那男孩儿来访过我家。,That boy used to drop in on me.
我的血型是A型血阳性。,My blood type is A positive.
汤姆有办法自己把问题解决了。,Tom was able to solve the problem by himself.
汤姆看着是个好人。,Tom seems nice.
你在澳洲的哪裡長大?,Where in Australia did you grow up?
她在海边有一个度假屋。,She has a cottage by the sea.
妈妈起得比谁都早。,My mother gets up earlier than anyone else.
你说今晚改变一下，去外面吃晚饭怎么样？,How about eating out this evening for a change?
我昨天不必讀書。,I didn't have to study yesterday.
她住在那裡大約5年了。,She lived there about five years.
洋蔥比馬鈴薯快熟。,Onions cook more quickly than potatoes.
这本书出版于1689年。,The book was published in 1689.
公司很快就要倒闭了。,The company's going to go bankrupt really soon.
我正在找一個小手提箱。,I'm looking for a small suitcase.
选举一致通过了。,The election was unanimous.
儘管他有那麼多錢，他並不快樂。,"Even with all the money he has, he isn't happy."
不要把欲望和爱情混为一谈。,Don't confuse desire with love.
我受够吃快餐了。,I'm sick of eating fast food.
您想再来点茶吗？,Do you want some more tea?
汤姆究竟在做什么？,What exactly does Tom do?
開始下雪了。,It began to snow.
你用你的照相机做了什么？,What did you do with your camera?
我對她的評價很好。,I had a good opinion of her.
他從腰部到膝蓋都濕了。,He got wet from the waist to the knees.
我们可以休息。,We can rest.
他被淹死了。,He was drowned.
别忘了刷牙。,Remember to brush your teeth.
真糟糕。,It was terrible.
你真傻。,You're so stupid.
這支筆多少錢?,How much does this pen cost?
他的衣服總是很臭。,His clothes always smell bad.
我和她是兄妹。,She and I are brother and sister.
我的家乡非常漂亮。,My hometown is very pretty.
我很清醒。,I'm sober.
没时间解释。,There's no time for explanation.
這把是我的牙刷。,That's my toothbrush.
你在吃东西吗？,Have you been eating?
汤姆跑得快。,Tom runs fast.
汤姆和他的父亲长得一点也不像。,Tom doesn't look like his father at all.
这个房子是我的。,This is my house.
我能用一下你的铅笔吗？,Can I borrow your pencil for a bit?
最後，她解決了這個問題。,"At last, she solved the problem."
激光打印机一般比喷墨打印机用起来更省钱。,Laser printers are generally cheaper to maintain than inkjet printers.
令我吃惊的是，他很容易就想出了一个方案。,"To my surprise, he easily came up with a plan."
所以，哪里有问题？,"So, where's the problem?"
"我真的很喜歡他, 可是我不喜歡他周圍的朋友。","I really like him, but not his circle of friends."
我们在下周的这个时候要做些什么呢。,What will we be doing this time next week?
事故發生在高速公路上。,The accident took place on the highway.
那是我第一次见到汤姆如此生气。,That was the first time that I'd seen Tom so angry.
汤姆应该很快就到。,Tom should be here soon.
周末愉快。,Have a good weekend.
我以前沒見過你嗎？,Haven't I seen you before?
游泳锻炼肌肉。,Swimming develops your muscles.
這隻貓很可愛。,The cat is adorable.
偶尔，我觉得你是一个很有趣的人。,There are times when I find you really interesting.
他喝了三瓶啤酒。,He drank three bottles of beer.
飛機起飛的時候我很緊張。,I was very nervous as the plane took off.
我希望湯姆輸。,I hope Tom loses.
你六点起床吗？,Do you get up at six?
由于下雨，我们没能上外头打网球。,The rain stopped us from being able to play tennis outside.
没有合格的申请人吗？,Aren't there any qualified applicants?
后会有期。,We'll meet again.
你知道谁去过澳大利亚的吗？,Do you know anybody who's been to Australia?
我觉得李斯特的《被遗忘的圆舞曲第三首》是个被埋没的名曲。,"I think that Liszt's ""Forgotten Waltz No.3"" is a hidden masterpiece."
桌子上只有一本书。,There is only one book on the desk.
他偶尔会阅读一些侦探小说。,He occasionally reads detective novels.
湯姆說法語比瑪麗好嗎？,Does Tom speak French better than Mary?
吃得太多对健康不好。,Eating too much is bad for your health.
尽管提问。,Feel free to ask any questions.
抓住他。,Grab him.
這是我收過最好的禮物了。,This is the most wonderful present I have ever received.
我们面前的这幢高楼是什么？,What is that big building in front of us?
我在回家的路上遇見了他。,"On my way home, I met him."
昨天他拜訪了他的叔叔。,He visited his uncle yesterday.
请给我看看其他的。,Please show me another one.
為了正當目的可以不擇手段。,The end justifies the means.
你愿意来吗？,Would you like to come?
我们想要一条新毯子。,We want a new carpet.
她說了什麼?,What did she say?
汤姆拿掉了他的婚戒。,Tom took off his wedding ring.
有人应该帮汤姆做这些事。,Tom should have someone do that for him.
我们在探险的时候遇到了很多困难。,We encountered a lot of difficulties on the expedition.
我今晚感觉良好。,I felt good tonight.
你想先去哪裡?,Where would you like to go first?
汤姆还在波士顿。,Tom is still in Boston.
那是一個好主意。,That's a good idea.
女孩凝视着洋娃娃。,The girl was gazing at the doll.
那个名字很普通吗？,Is that a common name?
汤姆日夜兼程。,Tom is on the go day and night.
我父親喜歡搭飛機旅行。,My father likes traveling by air.
天空乌云密布。,The sky is full of dark clouds.
我们有多远了？,How far away are we?
山上的老教堂的歷史可以追溯到12世紀。,The old church on the hill dates back to the twelfth century.
那是一個很好的計劃。,That's a good plan.
许多年前这里有一座城堡。,There was a castle here many years ago.
汤姆不喜欢做作业。,Tom doesn't like doing homework.
他很难掩饰对自己成功的骄傲。,It was difficult for him to hide his pride in his success.
每隔一行寫。,Write on every other line.
一起吃晚餐怎麼樣?,How about having dinner together?
你看起來很疲倦。,You look tired.
我知道汤姆对蜜蜂过敏。,I know that Tom is allergic to bees.
汤姆不知道为什么玛丽缺席。,Tom doesn't know why Mary is absent.
湯姆不知道瑪麗有男朋友。,Tom didn't know Mary had a boyfriend.
别瞧不起人。,Don't underestimate me.
你最好检查一下这个。,You'd better check this out.
这没有任何意义。,It makes no sense at all.
寒冷的天氣持續了三個禮拜。,The cold weather continued for three weeks.
汤姆的日语比日本人说得还要好。,Tom speaks Japanese better than the Japanese do.
我们今天所认识的工业在那个时代不存在。,Industry as we know it today didn't exist in those days.
我觉得很孤独。,I felt lonely.
她虚弱的样子让我捏了一把汗。,It worried me that she looked pale.
她侮辱了他。,She insulted him.
他乘小船過河。,He crossed the river in a small boat.
